temperature,scan.name,data.type,scan.well,absorbance,wavelength,time,minutes
23.4,kinetic > 1hr,Kinetic,G2,0.1514,412,12:00,12
23.4,kinetic > 1hr,Kinetic,H1,0.4766,412,12:00,12
23.4,kinetic > 1hr,Kinetic,H2,0.6291,412,12:00,12
24,kinetic > 1hr,Kinetic,A1,0.5279,412,24:00:00,24
24,kinetic > 1hr,Kinetic,A2,0.4533,412,24:00:00,24
24,kinetic > 1hr,Kinetic,B1,0.5558,412,24:00:00,24
24,kinetic > 1hr,Kinetic,B2,0.7737,412,24:00:00,24
24,kinetic > 1hr,Kinetic,C1,0.6055,412,24:00:00,24
24,kinetic > 1hr,Kinetic,C2,0.0906,412,24:00:00,24
24,kinetic > 1hr,Kinetic,D1,0.4633,412,24:00:00,24
24,kinetic > 1hr,Kinetic,D2,0.59,412,24:00:00,24
24,kinetic > 1hr,Kinetic,E1,0.2994,412,24:00:00,24
24,kinetic > 1hr,Kinetic,E2,0.4848,412,24:00:00,24
24,kinetic > 1hr,Kinetic,F1,0.6291,412,24:00:00,24
24,kinetic > 1hr,Kinetic,F2,0.5463,412,24:00:00,24
24,kinetic > 1hr,Kinetic,G1,0.8643,412,24:00:00,24
24,kinetic > 1hr,Kinetic,G2,0.1097,412,24:00:00,24
24,kinetic > 1hr,Kinetic,H1,0.3825,412,24:00:00,24
24,kinetic > 1hr,Kinetic,H2,0.612,412,24:00:00,24
24.2,end pt 412 3s shake,Endpoint,A1,1.2608,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,A2,0.7507,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,B1,0.5302,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,B2,0.7205,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,C1,0.7212,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,C2,0.6386,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,D1,1.1091,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,D2,0.6438,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,E1,0.8159,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,E2,1.0139,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,F1,0.6519,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,F2,0.6926,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,G1,0.5299,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,G2,0.6745,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,H1,0.5873,412,NA,NA
24.2,end pt 412 3s shake,Endpoint,H2,0.6916,412,NA,NA
24.2,kinetic 412nm shake 4s,Kinetic,A1,1.2562,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,A2,0.7476,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,B1,0.525,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,B2,0.7172,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,C1,0.7185,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,C2,0.636,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,D1,1.1082,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,D2,0.6432,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,E1,0.8187,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,E2,1.0121,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,F1,0.6516,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,F2,0.6937,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,G1,0.529,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,G2,0.6798,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,H1,0.5896,412,0:00,0
24.2,kinetic 412nm shake 4s,Kinetic,H2,0.692,412,0:00,0
24.3,kinetic 412nm shake 4s,Kinetic,A1,1.256,412,0:40,0.666666667
24.3,kinetic 412nm shake 4s,Kinetic,A1,1.256,412,1:00,1
24.3,kinetic 412nm shake 4s,Kinetic,A1,1.2561,412,0:20,0.333333333
24.3,kinetic 412nm shake 4s,Kinetic,A2,0.748,412,0:20,0.333333333
